timestamp,lat,lon,groundspeed_mps,roll_deg,pitch_deg,heading_deg,speed_setpoint_mps,heading_setpoint_deg,vehicle_mode,armed_status
2025-08-29T12:51:12.577029Z,40.8634558,29.2600939,0.078,0.35,-2.65,305.0,0.050,199.4,AUTO,ARMED
2025-08-29T12:51:13.576809Z,40.8634554,29.2600947,0.076,0.33,-2.65,305.0,0.050,199.5,AUTO,ARMED
2025-08-29T12:51:14.571533Z,40.8634549,29.2600959,0.069,0.33,-2.66,305.0,0.050,199.7,AUTO,ARMED
2025-08-29T12:51:15.570991Z,40.8634543,29.2600967,0.065,0.32,-2.65,305.0,0.050,199.8,AUTO,ARMED
2025-08-29T12:51:16.576949Z,40.8634541,29.2600970,0.035,0.30,-2.68,305.0,0.050,199.9,AUTO,ARMED
2025-08-29T12:51:17.573828Z,40.8634538,29.2600973,0.020,0.34,-2.69,305.0,0.050,199.9,AUTO,ARMED
2025-08-29T12:51:18.569621Z,40.8634534,29.2600975,0.022,0.35,-2.69,305.0,0.050,200.0,AUTO,ARMED
2025-08-29T12:51:19.577148Z,40.8634530,29.2600976,0.025,0.35,-2.69,305.0,0.050,200.0,AUTO,ARMED
2025-08-29T12:51:20.574260Z,40.8634526,29.2600978,0.025,0.35,-2.69,305.0,0.050,200.0,AUTO,ARMED
2025-08-29T12:51:21.572540Z,40.8634522,29.2600981,0.017,0.36,-2.69,305.0,0.050,200.1,AUTO,ARMED
2025-08-29T12:51:22.576081Z,40.8634518,29.2600986,0.015,0.38,-2.68,305.0,0.050,200.2,AUTO,ARMED
2025-08-29T12:51:23.577555Z,40.8634513,29.2600992,0.025,0.39,-2.66,305.0,0.050,200.3,AUTO,ARMED
2025-08-29T12:51:24.576477Z,40.8634513,29.2600998,0.025,0.43,-2.68,305.0,0.050,200.3,AUTO,ARMED
2025-08-29T12:51:25.568408Z,40.8634508,29.2601004,0.027,0.38,-2.67,305.0,0.050,200.4,AUTO,ARMED
2025-08-29T12:51:26.576916Z,40.8634504,29.2601006,0.023,0.39,-2.66,305.0,0.050,200.5,AUTO,ARMED
2025-08-29T12:51:27.573967Z,40.8634502,29.2601007,0.010,0.39,-2.68,305.0,0.050,200.5,AUTO,ARMED
2025-08-29T12:51:28.569391Z,40.8634499,29.2601007,0.009,0.38,-2.71,305.0,0.050,200.5,AUTO,ARMED
2025-08-29T12:51:29.577354Z,40.8634497,29.2601010,0.007,0.39,-2.69,305.0,0.050,200.6,AUTO,ARMED
2025-08-29T12:51:30.572962Z,40.8634491,29.2601016,0.022,0.38,-2.65,305.0,0.050,200.7,AUTO,ARMED
2025-08-29T12:51:31.567010Z,40.8634485,29.2601021,0.026,0.37,-2.67,305.0,0.050,200.8,AUTO,ARMED
2025-08-29T12:51:32.576828Z,40.8634479,29.2601029,0.034,0.38,-2.64,305.0,0.050,200.9,AUTO,ARMED
2025-08-29T12:51:33.575943Z,40.8634472,29.2601040,0.054,0.38,-2.62,305.0,0.050,201.1,AUTO,ARMED
2025-08-29T12:51:34.574159Z,40.8634465,29.2601049,0.067,0.37,-2.60,305.0,0.050,201.2,AUTO,ARMED
2025-08-29T12:51:35.572004Z,40.8634461,29.2601054,0.060,0.36,-2.61,305.0,0.050,201.3,AUTO,ARMED
2025-08-29T12:51:36.569466Z,40.8634457,29.2601058,0.054,0.35,-2.62,305.0,0.050,201.4,AUTO,ARMED
2025-08-29T12:51:37.574702Z,40.8634452,29.2601066,0.059,0.34,-2.61,305.0,0.050,201.5,AUTO,ARMED
2025-08-29T12:51:38.569719Z,40.8634448,29.2601072,0.057,0.35,-2.62,305.0,0.050,201.6,AUTO,ARMED
2025-08-29T12:51:39.576008Z,40.8634445,29.2601080,0.056,0.36,-2.63,305.0,0.050,201.7,AUTO,ARMED
2025-08-29T12:51:40.575944Z,40.8634442,29.2601083,0.039,0.32,-2.67,305.0,0.050,201.8,AUTO,ARMED
2025-08-29T12:51:41.576275Z,40.8634439,29.2601086,0.030,0.32,-2.68,305.0,0.050,201.8,AUTO,ARMED
2025-08-29T12:51:42.571089Z,40.8634436,29.2601089,0.024,0.33,-2.69,305.0,0.050,201.9,AUTO,ARMED
2025-08-29T12:51:43.575895Z,40.8634432,29.2601095,0.034,0.30,-2.64,305.0,0.050,202.0,AUTO,ARMED
2025-08-29T12:51:44.569545Z,40.8634428,29.2601099,0.028,0.32,-2.67,305.0,0.050,202.0,AUTO,ARMED
2025-08-29T12:51:45.576079Z,40.8634422,29.2601101,0.034,0.31,-2.67,305.0,0.050,202.1,AUTO,ARMED
2025-08-29T12:51:46.574269Z,40.8634419,29.2601108,0.030,0.34,-2.66,305.0,0.050,202.2,AUTO,ARMED
2025-08-29T12:51:47.570928Z,40.8634416,29.2601116,0.037,0.36,-2.65,305.0,0.050,202.3,AUTO,ARMED
2025-08-29T12:51:48.569575Z,40.8634412,29.2601123,0.039,0.36,-2.65,305.0,0.050,202.4,AUTO,ARMED
2025-08-29T12:51:49.573966Z,40.8634409,29.2601130,0.041,0.34,-2.64,305.0,0.050,202.5,AUTO,ARMED
2025-08-29T12:51:50.569493Z,40.8634403,29.2601135,0.047,0.34,-2.64,305.0,0.050,202.6,AUTO,ARMED
2025-08-29T12:51:51.576784Z,40.8634400,29.2601141,0.038,0.35,-2.67,305.0,0.050,202.7,AUTO,ARMED
2025-08-29T12:51:52.569631Z,40.8634397,29.2601148,0.035,0.34,-2.67,305.0,0.050,202.8,AUTO,ARMED
2025-08-29T12:51:53.575817Z,40.8634394,29.2601157,0.039,0.35,-2.67,305.0,0.050,202.9,AUTO,ARMED
2025-08-29T12:51:54.575881Z,40.8634392,29.2601168,0.046,0.30,-2.74,305.0,0.050,203.1,AUTO,ARMED
2025-08-29T12:51:55.576268Z,40.8634392,29.2601176,0.040,-0.27,-3.24,305.0,0.050,203.2,AUTO,ARMED
2025-08-29T12:51:56.575483Z,40.8634393,29.2601180,0.038,-0.74,-3.21,305.0,0.050,203.2,AUTO,ARMED
2025-08-29T12:51:57.575634Z,40.8634393,29.2601180,0.038,-0.74,-3.21,305.0,0.050,203.2,AUTO,ARMED
2025-08-29T12:51:58.569045Z,40.8634393,29.2601180,0.038,-0.74,-3.21,305.0,0.050,203.2,AUTO,ARMED
2025-08-29T12:51:59.573992Z,40.8634393,29.2601180,0.038,-0.74,-3.21,305.0,0.050,203.2,AUTO,ARMED
2025-08-29T12:52:00.569022Z,40.8634393,29.2601180,0.038,-0.74,-3.21,305.0,0.050,203.2,AUTO,ARMED
2025-08-29T12:52:01.575905Z,40.8634393,29.2601180,0.038,-0.74,-3.21,305.0,0.050,203.2,AUTO,ARMED
2025-08-29T12:52:02.575262Z,40.8634393,29.2601180,0.038,-0.74,-3.21,305.0,0.050,203.2,AUTO,ARMED
2025-08-29T12:52:03.575268Z,40.8634393,29.2601180,0.038,-0.74,-3.21,305.0,0.050,203.2,AUTO,ARMED
2025-08-29T12:52:04.570005Z,40.8634393,29.2601180,0.038,-0.74,-3.21,305.0,0.050,203.2,AUTO,ARMED
