timestamp,lat,lon,groundspeed_mps,roll_deg,pitch_deg,heading_deg,speed_setpoint_mps,heading_setpoint_deg,vehicle_mode,armed_status
2025-08-29T13:30:04.490759Z,40.8634435,29.2601410,0.029,-0.62,-2.67,305.0,0.050,205.8,AUTO,ARMED
2025-08-29T13:30:05.489912Z,40.8634432,29.2601414,0.033,-0.60,-2.59,305.0,0.050,205.8,AUTO,ARMED
2025-08-29T13:30:06.498987Z,40.8634425,29.2601418,0.045,-0.61,-2.57,305.0,0.050,205.9,AUTO,ARMED
2025-08-29T13:30:07.493219Z,40.8634420,29.2601417,0.038,-0.62,-2.56,305.0,0.050,205.9,AUTO,ARMED
2025-08-29T13:30:08.496236Z,40.8634417,29.2601416,0.042,-0.62,-2.56,305.0,0.050,205.9,AUTO,ARMED
2025-08-29T13:30:09.494649Z,40.8634418,29.2601416,0.024,-0.61,-2.53,305.0,0.050,205.9,AUTO,ARMED
2025-08-29T13:30:10.518267Z,40.8634421,29.2601415,0.004,-0.62,-2.52,305.0,0.050,205.9,AUTO,ARMED
2025-08-29T13:30:11.517753Z,40.8634428,29.2601410,0.023,-0.61,-2.53,305.0,0.050,205.8,AUTO,ARMED
2025-08-29T13:30:12.517087Z,40.8634432,29.2601409,0.024,-0.61,-2.51,305.0,0.050,205.8,AUTO,ARMED
2025-08-29T13:30:13.515682Z,40.8634436,29.2601410,0.023,-0.62,-2.49,305.0,0.050,205.8,AUTO,ARMED
2025-08-29T13:30:14.509653Z,40.8634437,29.2601413,0.021,-0.66,-2.47,305.0,0.050,205.8,AUTO,ARMED
2025-08-29T13:30:15.513716Z,40.8634447,29.2601416,0.037,-0.64,-2.49,305.0,0.050,205.8,AUTO,ARMED
2025-08-29T13:30:16.511245Z,40.8634458,29.2601417,0.048,-0.64,-2.51,305.0,0.050,205.7,AUTO,ARMED
2025-08-29T13:30:17.518103Z,40.8634466,29.2601419,0.043,-0.68,-2.50,305.0,0.050,205.7,AUTO,ARMED
2025-08-29T13:30:18.515265Z,40.8634475,29.2601419,0.042,-0.68,-2.53,305.0,0.050,205.7,AUTO,ARMED
2025-08-29T13:30:19.507239Z,40.8634482,29.2601420,0.036,-0.69,-2.50,305.0,0.050,205.6,AUTO,ARMED
2025-08-29T13:30:20.517170Z,40.8634491,29.2601422,0.034,-0.69,-2.50,305.0,0.050,205.6,AUTO,ARMED
2025-08-29T13:30:21.512471Z,40.8634500,29.2601421,0.029,-0.71,-2.52,305.0,0.050,205.5,AUTO,ARMED
2025-08-29T13:30:22.517186Z,40.8634509,29.2601421,0.030,-0.70,-2.51,305.0,0.050,205.5,AUTO,ARMED
2025-08-29T13:30:23.516968Z,40.8634517,29.2601423,0.022,-0.72,-2.51,305.0,0.050,205.5,AUTO,ARMED
2025-08-29T13:30:24.517916Z,40.8634526,29.2601425,0.019,-0.72,-2.50,305.0,0.050,205.4,AUTO,ARMED
2025-08-29T13:30:25.517539Z,40.8634538,29.2601427,0.031,-0.71,-2.52,305.0,0.050,205.4,AUTO,ARMED
2025-08-29T13:30:26.517130Z,40.8634550,29.2601428,0.042,-0.70,-2.53,305.0,0.050,205.3,AUTO,ARMED
2025-08-29T13:30:27.507549Z,40.8634562,29.2601429,0.045,-0.70,-2.52,305.0,0.050,205.3,AUTO,ARMED
2025-08-29T13:30:28.507141Z,40.8634574,29.2601432,0.056,-0.69,-2.52,305.0,0.050,205.3,AUTO,ARMED
2025-08-29T13:30:29.516182Z,40.8634585,29.2601434,0.048,-0.70,-2.50,305.0,0.050,205.2,AUTO,ARMED
2025-08-29T13:30:30.512789Z,40.8634595,29.2601437,0.046,-0.71,-2.49,305.0,0.050,205.2,AUTO,ARMED
2025-08-29T13:30:31.509627Z,40.8634604,29.2601437,0.039,-0.71,-2.51,305.0,0.050,205.2,AUTO,ARMED
