timestamp,lat,lon,groundspeed_mps,roll_deg,pitch_deg,heading_deg,speed_setpoint_mps,heading_setpoint_deg
2025-08-28T15:43:28.959038,40.8634221,29.2601481,0.062,3.70,-3.70,312.0,,
2025-08-28T15:43:29.951353,40.8634221,29.2601467,0.050,3.68,-3.70,312.0,,
2025-08-28T15:43:30.956804,40.8634222,29.2601453,0.045,3.69,-3.70,312.0,,
2025-08-28T15:43:31.956587,40.8634222,29.2601440,0.030,3.69,-3.68,312.0,,
2025-08-28T15:43:32.954227,40.8634220,29.2601422,0.046,3.65,-3.69,312.0,,
2025-08-28T15:43:33.952111,40.8634216,29.2601408,0.043,3.64,-3.68,312.0,,
2025-08-28T15:43:34.956776,40.8634208,29.2601401,0.048,3.64,-3.67,312.0,,
2025-08-28T15:43:35.963528,40.8634199,29.2601393,0.057,3.63,-3.68,312.0,,
2025-08-28T15:43:36.955987,40.8634190,29.2601392,0.060,3.65,-3.67,312.0,,
2025-08-28T15:43:37.952317,40.8634177,29.2601391,0.086,3.64,-3.65,312.0,,
2025-08-28T15:43:38.951009,40.8634165,29.2601388,0.086,3.64,-3.68,312.0,,
2025-08-28T15:43:39.964757,40.8634157,29.2601382,0.070,3.65,-3.72,312.0,,
2025-08-28T15:43:40.957687,40.8634155,29.2601379,0.034,3.69,-3.76,312.0,,
2025-08-28T15:43:41.959074,40.8634149,29.2601370,0.033,3.66,-3.77,312.0,,
2025-08-28T15:43:42.954878,40.8634144,29.2601354,0.051,3.62,-3.80,312.0,,
2025-08-28T15:43:43.952658,40.8634139,29.2601337,0.064,3.62,-3.81,312.0,,
2025-08-28T15:43:44.955742,40.8634138,29.2601319,0.072,3.61,-3.81,312.0,,
2025-08-28T15:43:45.954822,40.8634132,29.2601302,0.080,3.62,-3.78,312.0,,
2025-08-28T15:43:46.955869,40.8634128,29.2601276,0.096,3.61,-3.81,312.0,,
2025-08-28T15:43:47.961300,40.8634123,29.2601252,0.104,3.62,-3.79,312.0,,
2025-08-28T15:43:48.954664,40.8634116,29.2601233,0.091,3.64,-3.76,312.0,,
2025-08-28T15:43:49.951010,40.8634108,29.2601218,0.078,3.65,-3.74,312.0,,
2025-08-28T15:43:50.951349,40.8634099,29.2601204,0.070,3.66,-3.74,312.0,,
2025-08-28T15:43:51.956749,40.8634089,29.2601192,0.064,3.67,-3.73,312.0,,
2025-08-28T15:43:52.955319,40.8634081,29.2601179,0.058,3.70,-3.73,312.0,,
2025-08-28T15:43:53.963907,40.8634070,29.2601176,0.050,3.70,-3.71,312.0,,
2025-08-28T15:43:54.956127,40.8634062,29.2601173,0.045,3.71,-3.72,312.0,,
2025-08-28T15:43:55.963104,40.8634059,29.2601167,0.032,3.71,-3.74,312.0,,
2025-08-28T15:43:56.956134,40.8634060,29.2601150,0.027,3.70,-3.78,312.0,,
2025-08-28T15:43:57.956681,40.8634081,29.2601103,0.126,3.70,-3.86,312.0,,
2025-08-28T15:43:58.951651,40.8634108,29.2601042,0.233,3.70,-3.92,312.0,,
2025-08-28T15:43:59.958622,40.8634137,29.2600980,0.300,3.69,-3.92,312.0,,
2025-08-28T15:44:00.955628,40.8634162,29.2600925,0.321,3.68,-3.87,312.0,,
2025-08-28T15:44:01.953535,40.8634187,29.2600876,0.312,3.68,-3.79,312.0,,
2025-08-28T15:44:02.957300,40.8634214,29.2600824,0.310,3.68,-3.74,312.0,,
2025-08-28T15:44:03.954805,40.8634235,29.2600779,0.278,3.67,-3.66,312.0,,
2025-08-28T15:44:04.956758,40.8634250,29.2600742,0.216,3.68,-3.57,312.0,,
2025-08-28T15:44:05.954718,40.8634265,29.2600707,0.174,3.67,-3.52,312.0,,
2025-08-28T15:44:06.957098,40.8634277,29.2600686,0.106,3.70,-3.45,312.0,,
2025-08-28T15:44:07.964126,40.8634279,29.2600684,0.026,3.71,-3.41,312.0,,
2025-08-28T15:44:08.961499,40.8634279,29.2600687,0.057,3.70,-3.39,312.0,,
2025-08-28T15:44:09.953843,40.8634284,29.2600695,0.101,3.70,-3.40,312.0,,
