timestamp,lat,lon,groundspeed_mps,roll_deg,pitch_deg,heading_deg,speed_setpoint_mps,heading_setpoint_deg
2025-08-28T15:38:30.240210,40.8634309,29.2601811,0.035,3.59,-3.80,313.0,,
2025-08-28T15:38:31.251277,40.8634309,29.2601811,0.012,3.61,-3.83,313.0,,
2025-08-28T15:38:32.236577,40.8634309,29.2601816,0.016,3.61,-3.82,313.0,,
2025-08-28T15:38:33.232256,40.8634310,29.2601822,0.027,3.62,-3.84,313.0,,
2025-08-28T15:38:34.238326,40.8634306,29.2601828,0.026,3.59,-3.85,313.0,,
2025-08-28T15:38:35.258559,40.8634301,29.2601832,0.024,3.58,-3.82,313.0,,
2025-08-28T15:38:36.248034,40.8634294,29.2601832,0.031,3.58,-3.81,313.0,,
2025-08-28T15:38:37.255731,40.8634289,29.2601833,0.032,3.57,-3.82,313.0,,
2025-08-28T15:38:38.251951,40.8634297,29.2601835,0.022,3.61,-3.86,313.0,,
2025-08-28T15:38:39.247130,40.8634313,29.2601835,0.074,3.63,-3.88,313.0,,
2025-08-28T15:38:40.252467,40.8634323,29.2601833,0.089,3.63,-3.88,313.0,,
2025-08-28T15:38:41.251239,40.8634324,29.2601831,0.068,3.60,-3.85,313.0,,
2025-08-28T15:38:42.251918,40.8634315,29.2601825,0.035,3.57,-3.80,313.0,,
2025-08-28T15:38:43.248528,40.8634302,29.2601825,0.041,3.56,-3.76,313.0,,
2025-08-28T15:38:44.255737,40.8634293,29.2601826,0.052,3.56,-3.74,313.0,,
2025-08-28T15:38:45.250082,40.8634286,29.2601830,0.056,3.59,-3.73,313.0,,
2025-08-28T15:38:46.248544,40.8634289,29.2601837,0.039,3.62,-3.75,313.0,,
2025-08-28T15:38:47.247881,40.8634282,29.2601844,0.060,3.62,-3.74,313.0,,
2025-08-28T15:38:48.248545,40.8634270,29.2601851,0.084,3.61,-3.74,313.0,,
2025-08-28T15:38:49.248412,40.8634256,29.2601853,0.094,3.59,-3.74,313.0,,
2025-08-28T15:38:50.247557,40.8634243,29.2601863,0.108,3.61,-3.75,313.0,,
2025-08-28T15:38:51.254143,40.8634231,29.2601870,0.105,3.63,-3.80,313.0,,
2025-08-28T15:38:52.251887,40.8634221,29.2601868,0.092,3.60,-3.83,313.0,,
2025-08-28T15:38:53.254144,40.8634211,29.2601864,0.087,3.58,-3.85,313.0,,
2025-08-28T15:38:54.248852,40.8634204,29.2601857,0.067,3.61,-3.90,313.0,,
2025-08-28T15:38:55.255547,40.8634207,29.2601846,0.059,3.65,-3.96,313.0,,
2025-08-28T15:38:56.260643,40.8634213,29.2601837,0.084,3.68,-3.98,313.0,,
2025-08-28T15:38:57.255948,40.8634219,29.2601829,0.102,3.70,-3.96,313.0,,
2025-08-28T15:38:58.252325,40.8634221,29.2601817,0.103,3.68,-3.93,313.0,,
2025-08-28T15:38:59.255444,40.8634222,29.2601805,0.099,3.67,-3.91,313.0,,
2025-08-28T15:39:00.247153,40.8634224,29.2601795,0.088,3.66,-3.87,313.0,,
