timestamp,lat,lon,groundspeed_mps,roll_deg,pitch_deg,heading_deg,speed_setpoint_mps,heading_setpoint_deg
2025-08-28T15:53:59.410376,40.8634278,29.2601536,0.060,3.89,-3.82,312.0,,
2025-08-28T15:54:00.410664,40.8634279,29.2601538,0.043,3.87,-3.82,312.0,,
2025-08-28T15:54:01.407630,40.8634280,29.2601536,0.020,3.84,-3.83,312.0,,
2025-08-28T15:54:02.406766,40.8634279,29.2601530,0.022,3.80,-3.84,312.0,,
2025-08-28T15:54:03.414115,40.8634278,29.2601524,0.038,3.79,-3.83,312.0,,
2025-08-28T15:54:04.410710,40.8634276,29.2601521,0.042,3.80,-3.81,312.0,,
2025-08-28T15:54:05.403768,40.8634277,29.2601520,0.032,3.82,-3.82,312.0,,
2025-08-28T15:54:06.410186,40.8634279,29.2601517,0.029,3.84,-3.83,312.0,,
2025-08-28T15:54:07.407582,40.8634283,29.2601511,0.041,3.85,-3.84,312.0,,
2025-08-28T15:54:08.404711,40.8634285,29.2601507,0.042,3.85,-3.83,312.0,,
2025-08-28T15:54:09.404486,40.8634287,29.2601505,0.035,3.86,-3.81,312.0,,
2025-08-28T15:54:10.410309,40.8634289,29.2601503,0.026,3.86,-3.80,312.0,,
2025-08-28T15:54:11.404123,40.8634291,29.2601502,0.017,3.87,-3.77,312.0,0.050,297.2
2025-08-28T15:54:12.405579,40.8634295,29.2601500,0.016,3.88,-3.77,312.0,0.050,297.2
2025-08-28T15:54:13.407901,40.8634299,29.2601497,0.025,3.88,-3.78,312.0,0.050,297.2
2025-08-28T15:54:14.407191,40.8634303,29.2601492,0.024,3.86,-3.77,312.0,0.050,297.2
2025-08-28T15:54:15.409114,40.8634307,29.2601486,0.033,3.87,-3.79,312.0,0.050,297.2
2025-08-28T15:54:16.408174,40.8634311,29.2601480,0.039,3.87,-3.79,312.0,0.050,297.2
2025-08-28T15:54:17.404664,40.8634315,29.2601472,0.043,3.86,-3.79,312.0,0.050,297.2
2025-08-28T15:54:18.410068,40.8634320,29.2601467,0.041,3.88,-3.78,312.0,0.050,297.2
2025-08-28T15:54:19.409772,40.8634323,29.2601464,0.032,3.89,-3.77,312.0,0.050,297.2
2025-08-28T15:54:20.408096,40.8634325,29.2601466,0.016,3.90,-3.77,312.0,0.050,297.2
2025-08-28T15:54:21.405846,40.8634326,29.2601470,0.026,3.91,-3.76,312.0,0.050,297.2
2025-08-28T15:54:22.416161,40.8634329,29.2601476,0.044,3.92,-3.76,312.0,0.050,297.2
2025-08-28T15:54:23.403828,40.8634333,29.2601480,0.052,3.92,-3.77,312.0,0.050,297.2
2025-08-28T15:54:24.410655,40.8634335,29.2601482,0.040,3.88,-3.78,312.0,0.050,297.2
2025-08-28T15:54:25.407923,40.8634335,29.2601482,0.023,3.86,-3.79,312.0,0.050,297.2
2025-08-28T15:54:26.418232,40.8634334,29.2601483,0.017,3.84,-3.79,312.0,0.050,297.2
2025-08-28T15:54:27.417364,40.8634330,29.2601483,0.026,3.83,-3.79,312.0,0.050,297.2
2025-08-28T15:54:28.407778,40.8634325,29.2601481,0.045,3.81,-3.79,312.0,0.050,297.2
2025-08-28T15:54:29.402979,40.8634320,29.2601480,0.050,3.82,-3.80,312.0,0.050,297.2
2025-08-28T15:54:30.404985,40.8634318,29.2601478,0.043,3.84,-3.81,312.0,0.050,297.2
2025-08-28T15:54:31.413966,40.8634319,29.2601479,0.021,3.87,-3.83,312.0,0.050,297.2
2025-08-28T15:54:32.410030,40.8634321,29.2601482,0.009,3.90,-3.84,312.0,0.050,297.2
2025-08-28T15:54:33.410047,40.8634322,29.2601486,0.020,3.92,-3.83,312.0,0.050,297.2
2025-08-28T15:54:34.405818,40.8634321,29.2601486,0.012,3.90,-3.83,312.0,0.050,297.2
2025-08-28T15:54:35.412960,40.8634317,29.2601485,0.011,3.89,-3.82,312.0,0.050,297.2
2025-08-28T15:54:36.404576,40.8634312,29.2601482,0.025,3.87,-3.84,312.0,0.050,297.2
2025-08-28T15:54:37.412667,40.8634308,29.2601477,0.034,3.87,-3.84,312.0,0.050,297.2
2025-08-28T15:54:38.405103,40.8634304,29.2601474,0.037,3.88,-3.83,312.0,0.050,297.2
2025-08-28T15:54:39.410586,40.8634301,29.2601470,0.036,3.89,-3.83,312.0,0.050,297.2
2025-08-28T15:54:40.404901,40.8634298,29.2601468,0.030,3.90,-3.84,312.0,0.050,297.2
2025-08-28T15:54:41.413272,40.8634297,29.2601464,0.025,3.90,-3.83,312.0,0.050,297.2
2025-08-28T15:54:42.404464,40.8634295,29.2601461,0.023,3.90,-3.83,312.0,0.050,297.2
2025-08-28T15:54:43.406343,40.8634293,29.2601458,0.021,3.90,-3.83,312.0,0.050,297.2
2025-08-28T15:54:44.404452,40.8634293,29.2601459,0.005,3.92,-3.83,312.0,0.050,297.2
2025-08-28T15:54:45.405759,40.8634293,29.2601459,0.006,3.92,-3.82,312.0,,
2025-08-28T15:54:46.403809,40.8634293,29.2601460,0.016,3.93,-3.82,312.0,,
2025-08-28T15:54:47.412727,40.8634293,29.2601462,0.018,3.91,-3.82,312.0,,
