timestamp,lat,lon,groundspeed_mps,roll_deg,pitch_deg,heading_deg,speed_setpoint_mps,heading_setpoint_deg
2025-08-28T15:51:17.950967,40.8634217,29.2601565,0.078,3.87,-3.83,312.0,,
2025-08-28T15:51:18.944518,40.8634220,29.2601562,0.068,3.86,-3.82,312.0,,
2025-08-28T15:51:19.934671,40.8634223,29.2601560,0.047,3.86,-3.79,312.0,,
2025-08-28T15:51:20.940434,40.8634228,29.2601561,0.035,3.87,-3.78,312.0,,
2025-08-28T15:51:21.937299,40.8634235,29.2601561,0.033,3.86,-3.77,312.0,,
2025-08-28T15:51:22.935520,40.8634239,29.2601561,0.025,3.85,-3.77,312.0,,
2025-08-28T15:51:23.949258,40.8634248,29.2601565,0.046,3.88,-3.77,312.0,,
2025-08-28T15:51:24.945246,40.8634260,29.2601574,0.066,3.90,-3.75,312.0,,
2025-08-28T15:51:25.936483,40.8634270,29.2601578,0.078,3.92,-3.77,312.0,,
2025-08-28T15:51:26.936361,40.8634277,29.2601579,0.068,3.87,-3.77,312.0,,
2025-08-28T15:51:27.935553,40.8634279,29.2601579,0.042,3.84,-3.77,312.0,,
2025-08-28T15:51:28.934493,40.8634281,29.2601580,0.021,3.82,-3.76,312.0,,
2025-08-28T15:51:29.947333,40.8634285,29.2601581,0.019,3.82,-3.79,312.0,,
2025-08-28T15:51:30.936248,40.8634291,29.2601581,0.026,3.84,-3.79,312.0,,
2025-08-28T15:51:31.935532,40.8634296,29.2601584,0.029,3.84,-3.79,312.0,,
2025-08-28T15:51:32.935042,40.8634301,29.2601585,0.023,3.82,-3.79,312.0,,
2025-08-28T15:51:33.937483,40.8634305,29.2601587,0.018,3.82,-3.79,312.0,,
2025-08-28T15:51:34.941430,40.8634309,29.2601588,0.017,3.82,-3.80,312.0,,
2025-08-28T15:51:35.936667,40.8634313,29.2601589,0.015,3.83,-3.80,312.0,,
2025-08-28T15:51:36.935267,40.8634319,29.2601589,0.025,3.83,-3.81,312.0,,
2025-08-28T15:51:37.947771,40.8634326,29.2601589,0.037,3.83,-3.82,312.0,,
2025-08-28T15:51:38.942365,40.8634333,29.2601588,0.041,3.84,-3.82,312.0,,
2025-08-28T15:51:39.940478,40.8634341,29.2601586,0.044,3.85,-3.81,312.0,0.050,297.2
2025-08-28T15:51:40.938963,40.8634350,29.2601581,0.056,3.86,-3.82,312.0,0.050,297.2
2025-08-28T15:51:41.939542,40.8634357,29.2601580,0.056,3.87,-3.80,312.0,0.050,297.2
2025-08-28T15:51:42.940269,40.8634370,29.2601579,0.074,3.88,-3.80,312.0,0.050,297.2
2025-08-28T15:51:43.939224,40.8634379,29.2601575,0.069,3.87,-3.79,312.0,0.050,297.2
2025-08-28T15:51:44.947714,40.8634384,29.2601568,0.057,3.85,-3.78,312.0,0.050,297.2
2025-08-28T15:51:45.939204,40.8634390,29.2601560,0.050,3.84,-3.77,312.0,0.050,297.2
2025-08-28T15:51:46.942344,40.8634394,29.2601550,0.052,3.83,-3.77,312.0,0.050,297.2
2025-08-28T15:51:47.940031,40.8634401,29.2601541,0.056,3.84,-3.77,312.0,0.050,297.2
2025-08-28T15:51:48.941007,40.8634408,29.2601535,0.052,3.84,-3.77,312.0,0.050,297.2
2025-08-28T15:51:49.939330,40.8634413,29.2601531,0.038,3.85,-3.75,312.0,0.050,297.2
2025-08-28T15:51:50.944480,40.8634418,29.2601526,0.035,3.86,-3.76,312.0,0.050,297.2
2025-08-28T15:51:51.937088,40.8634426,29.2601521,0.041,3.86,-3.76,312.0,0.050,297.2
